delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.4,1000,exp,0,0,0,4,14.603050709000001,15.574595124999973,15.574595124999973,15.600318666999954,space,0.9327608340000211,16.950279875666652,17.28994124999997,17.28994124999997,17.28994124999997,500,1,[3.9612834580000253],[3.9612862500000574],,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.7,1000,exp,0,1,1,11,21.233030499999927,22.222734584000023,22.222734584000023,22.222734584000023,space,0.7820383749999564,23.71738550066665,24.05584024999996,24.05584024999996,24.05584024999996,700,2,"[3.9612834580000253, 3.3855182500000183]","[3.9612862500000574, 3.385520917000008]",24.05584024999996,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,1000,exp,0,2,2,3,27.433538459000033,28.422891041999947,28.422891041999947,28.422891041999947,space,0.5979972919999454,29.134454541666642,29.468750333999992,29.468750333999992,29.468750333999992,200,3,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002]","[3.9612862500000574, 3.385520917000008, 2.205719042000055]",29.468750333999992,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,1000,exp,0,3,3,9,31.66700025,32.65706049999994,32.65706049999994,32.65706049999994,space,0.7143932919999543,33.47527745866661,33.817195708999975,33.817195708999975,33.817195708999975,200,4,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.4,400,unexp,0,4,4,1,36.201236042000005,37.19057995899993,37.19057995899993,37.19057995899993,space,0.39281079200009117,37.99065283366669,38.326413333999994,38.326413333999994,38.326413333999994,600,5,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157]",,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.1,400,unexp,0,5,5,0,41.200651291999975,42.19066504199998,42.19066504199998,42.19066504199998,space,0.2904172500000186,42.5905366256667,42.92797774999997,42.92797774999997,42.92797774999997,400,6,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952]",42.92797774999997,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.7,400,unexp,0,6,6,2,45.60094179199996,46.59041291699998,46.59041291699998,46.59041291699998,space,0.4442424580000761,47.7411539586666,48.072402709000016,48.072402709000016,48.072402709000016,900,7,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982]",48.072402709000016,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.4,1000,exp,0,7,7,10,50.73452624999993,51.72396800000001,51.72396800000001,51.72396800000001,space,0.4305066249999072,52.56835633366667,52.904244833999996,52.904244833999996,52.904244833999996,500,8,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044]",52.904244833999996,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.4,1000,exp,0,8,8,7,55.051197,56.04118499999993,56.04118499999993,56.04118499999993,space,0.40540854099992885,56.857848208666624,57.18370649999997,57.18370649999997,57.18370649999997,400,9,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088]",57.18370649999997,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
0.7,1000,exp,0,9,9,5,60.034770874999936,61.02447725000002,61.02447725000002,61.02447725000002,space,0.4081160829999817,62.14064162566662,62.477666916999965,62.477666916999965,62.477666916999965,400,10,"[3.9612834580000253, 3.3855182500000183, 2.205716209000002, 2.3895200000000614, 2.880322417000002, 2.6793477919999305, 2.6689032079999606, 2.153580624999904, 2.8577587500000163, 2.798388791999969]","[3.9612862500000574, 3.385520917000008, 2.205719042000055, 2.389522750000083, 2.8803254580000157, 2.679350541999952, 2.668905957999982, 2.1535833339999044, 2.8577617500000088, 2.7983922079999957]",62.477666916999965,1,001,2023-11-09_11h08.52.731,Intentional_binding,2022.2.5,None,
